Date	Visitor	VisitorAbr	VisitorScore	Home	HomeAbr	HomeScore
09/08/2022	Buffalo Bills	BUF	31	Los Angeles Rams	LA	10
09/11/2022	Indianapolis Colts	IND	20	Houston Texans	HOU	20
09/11/2022	San Francisco 49ers	SF	10	Chicago Bears	CHI	19
09/11/2022	Pittsburgh Steelers	PIT	23	Cincinnati Bengals	CIN	20
09/11/2022	Philadelphia Eagles	PHI	38	Detroit Lions	DET	35
09/11/2022	Baltimore Ravens	BAL	24	New York Jets	NYJ	9
09/11/2022	New Orleans Saints	NO	27	Atlanta Falcons	ATL	26
09/11/2022	New England Patriots	NE	7	Miami Dolphins	MIA	20
09/11/2022	Jacksonville Jaguars	JAX	22	Washington Commanders	WAS	28
09/11/2022	Cleveland Browns	CLE	26	Carolina Panthers	CAR	24
09/11/2022	Kansas City Chiefs	KC	44	Arizona Cardinals	ARI	21
09/11/2022	Las Vegas Raiders	LV	19	Los Angeles Chargers	LAC	24
09/11/2022	New York Giants	NYG	21	Tennessee Titans	TEN	20
09/11/2022	Green Bay Packers	GB	7	Minnesota Vikings	MIN	23
09/11/2022	Tampa Bay Buccaneers	TB	19	Dallas Cowboys	DAL	3
09/12/2022	Denver Broncos	DEN	16	Seattle Seahawks	SEA	17
09/15/2022	Los Angeles Chargers	LAC	24	Kansas City Chiefs	KC	27
09/18/2022	Tampa Bay Buccaneers	TB	20	New Orleans Saints	NO	10
09/18/2022	Carolina Panthers	CAR	16	New York Giants	NYG	19
09/18/2022	New England Patriots	NE	17	Pittsburgh Steelers	PIT	14
09/18/2022	Indianapolis Colts	IND	0	Jacksonville Jaguars	JAX	24
09/18/2022	New York Jets	NYJ	31	Cleveland Browns	CLE	30
09/18/2022	Washington Commanders	WAS	27	Detroit Lions	DET	36
09/18/2022	Miami Dolphins	MIA	42	Baltimore Ravens	BAL	38
09/18/2022	Atlanta Falcons	ATL	27	Los Angeles Rams	LA	31
09/18/2022	Seattle Seahawks	SEA	7	San Francisco 49ers	SF	27
09/18/2022	Arizona Cardinals	ARI	29	Las Vegas Raiders	LV	23
09/18/2022	Houston Texans	HOU	9	Denver Broncos	DEN	16
09/18/2022	Cincinnati Bengals	CIN	17	Dallas Cowboys	DAL	20
09/18/2022	Chicago Bears	CHI	10	Green Bay Packers	GB	27
09/19/2022	Tennessee Titans	TEN	7	Buffalo Bills	BUF	41
09/19/2022	Minnesota Vikings	MIN	7	Philadelphia Eagles	PHI	24
09/22/2022	Pittsburgh Steelers	PIT	17	Cleveland Browns	CLE	29
09/25/2022	Houston Texans	HOU	20	Chicago Bears	CHI	23
09/25/2022	Las Vegas Raiders	LV	22	Tennessee Titans	TEN	24
09/25/2022	Detroit Lions	DET	24	Minnesota Vikings	MIN	28
09/25/2022	Baltimore Ravens	BAL	37	New England Patriots	NE	26
09/25/2022	Cincinnati Bengals	CIN	27	New York Jets	NYJ	12
09/25/2022	Kansas City Chiefs	KC	17	Indianapolis Colts	IND	20
09/25/2022	Buffalo Bills	BUF	19	Miami Dolphins	MIA	21
09/25/2022	Philadelphia Eagles	PHI	24	Washington Commanders	WAS	8
09/25/2022	New Orleans Saints	NO	14	Carolina Panthers	CAR	22
09/25/2022	Jacksonville Jaguars	JAX	38	Los Angeles Chargers	LAC	10
09/25/2022	Atlanta Falcons	ATL	27	Seattle Seahawks	SEA	23
09/25/2022	Los Angeles Rams	LA	20	Arizona Cardinals	ARI	12
09/25/2022	Green Bay Packers	GB	14	Tampa Bay Buccaneers	TB	12
09/25/2022	San Francisco 49ers	SF	10	Denver Broncos	DEN	11
09/26/2022	Dallas Cowboys	DAL	23	New York Giants	NYG	16
09/29/2022	Miami Dolphins	MIA	15	Cincinnati Bengals	CIN	27
10/02/2022	Minnesota Vikings	MIN	28	New Orleans Saints	NO	25
10/02/2022	Washington Commanders	WAS	10	Dallas Cowboys	DAL	25
10/02/2022	Los Angeles Chargers	LAC	34	Houston Texans	HOU	24
10/02/2022	Tennessee Titans	TEN	24	Indianapolis Colts	IND	17
10/02/2022	Cleveland Browns	CLE	20	Atlanta Falcons	ATL	23
10/02/2022	Seattle Seahawks	SEA	48	Detroit Lions	DET	45
10/02/2022	Buffalo Bills	BUF	23	Baltimore Ravens	BAL	20
10/02/2022	Chicago Bears	CHI	12	New York Giants	NYG	20
10/02/2022	Jacksonville Jaguars	JAX	21	Philadelphia Eagles	PHI	29
10/02/2022	New York Jets	NYJ	24	Pittsburgh Steelers	PIT	20
10/02/2022	Arizona Cardinals	ARI	26	Carolina Panthers	CAR	16
10/02/2022	Denver Broncos	DEN	23	Las Vegas Raiders	LV	32
10/02/2022	New England Patriots	NE	24	Green Bay Packers	GB	27
10/02/2022	Kansas City Chiefs	KC	41	Tampa Bay Buccaneers	TB	31
